Zone,Classes de date de création,Titre de l'indicateur,Valeurs de l'indicateur
l'Oriental -> Jerada,[2011-2019],Emploi Permanent_Etablissements à but lucratif,1857.0000000000007
l'Oriental -> Jerada,[2011-2019],Etablissements à but lucratif,826.0
l'Oriental -> Jerada,[2022-2024],Emploi Permanent_Etablissements à but lucratif,794.9999999999993
l'Oriental -> Jerada,[2001-2010],Emploi Permanent_Etablissements à but lucratif,607.0
l'Oriental -> Jerada,[2020-2021],Emploi Permanent_Etablissements à but lucratif,562.0000000000002
l'Oriental -> Jerada,[2022-2024],Etablissements à but lucratif,485.0
l'Oriental -> Jerada,[1991-2000],Emploi Permanent_Etablissements à but lucratif,469.99999999999983
l'Oriental -> Jerada,[2020-2021],Etablissements à but lucratif,359.0
l'Oriental -> Jerada,[2001-2010],Etablissements à but lucratif,323.0
l'Oriental -> Jerada,[1991-2000],Etablissements à but lucratif,195.0
l'Oriental -> Jerada,[1981-1990],Emploi Permanent_Etablissements à but lucratif,139.00000000000003
l'Oriental -> Jerada,[1956-1980],Emploi Permanent_Etablissements à but lucratif,95.00000000000003
l'Oriental -> Jerada,[1981-1990],Etablissements à but lucratif,76.0
l'Oriental -> Jerada,[1956-1980],Etablissements à but lucratif,52.0
l'Oriental -> Jerada,Avant 1956,Emploi Permanent_Etablissements à but lucratif,6.0
l'Oriental -> Jerada,Avant 1956,Etablissements à but lucratif,3.0
