Zone,Classes d'emploi permanent,Titre de l'indicateur,Valeurs de l'indicateur
l'Oriental -> Jerada,1,Etablissements à but lucratif,1533.0
l'Oriental -> Jerada,1,Emploi Permanent_Etablissements à but lucratif,1533.0
l'Oriental -> Jerada,2,Emploi Permanent_Etablissements à but lucratif,994.0
l'Oriental -> Jerada,4 à 9,Emploi Permanent_Etablissements à but lucratif,628.9999999999998
l'Oriental -> Jerada,2,Etablissements à but lucratif,497.0
l'Oriental -> Jerada,3,Emploi Permanent_Etablissements à but lucratif,402.0
l'Oriental -> Jerada,20 à 49,Emploi Permanent_Etablissements à but lucratif,387.99999999999994
l'Oriental -> Jerada,10 à 19,Emploi Permanent_Etablissements à but lucratif,270.0
l'Oriental -> Jerada,100 à 199,Emploi Permanent_Etablissements à but lucratif,180.0
l'Oriental -> Jerada,50 à 99,Emploi Permanent_Etablissements à but lucratif,135.0
l'Oriental -> Jerada,3,Etablissements à but lucratif,134.0
l'Oriental -> Jerada,4 à 9,Etablissements à but lucratif,119.0
l'Oriental -> Jerada,10 à 19,Etablissements à but lucratif,20.0
l'Oriental -> Jerada,20 à 49,Etablissements à but lucratif,13.0
l'Oriental -> Jerada,50 à 99,Etablissements à but lucratif,2.0
l'Oriental -> Jerada,100 à 199,Etablissements à but lucratif,1.0
l'Oriental -> Jerada,200 et plus,Etablissements à but lucratif,0.0
l'Oriental -> Jerada,200 et plus,Emploi Permanent_Etablissements à but lucratif,0.0
