Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires disposant de l'eau courante (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires disposant de l'électricité (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires disposant de W.-C. (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires disposant d'une cuisine (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires disposant d'une fosse septique (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires disposant d'une pièce d'eau (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires locataires (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires propriétaires (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans un appartement (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans une maison marocaine (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Taille moyenne des ménages,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans un logement rural (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),
