Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Féminin,Part de la population de 15-59 ans (%),59.0
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Féminin,Part de la population de 15-59 ans (%),59.0
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Ensemble,Part de la population de 15-59 ans (%),58.8
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Ensemble,Part de la population de 15-59 ans (%),58.8
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Masculin,Part de la population de 15-59 ans (%),58.7
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Masculin,Part de la population de 15-59 ans (%),58.7
