Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
