Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ain Bni Mathar,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.3
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.3
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.3
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.3
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.3
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.3
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.7
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.7
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.7
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.7
Oriental -> Jerada -> Ain Bni Mathar,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.6
Oriental -> Jerada -> Ain Bni Mathar,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.6
