Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),77.6
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),77.6
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Taux d'activité des 15 ans et plus (%),69.8
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),69.8
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),57.5
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),57.5
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Taux de chômage (%),56.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Taux de chômage (%),56.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),56.7
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),56.7
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),37.6
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),37.6
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),29.3
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),29.3
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),28.5
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),28.5
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Taux de chômage (%),25.6
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Taux de chômage (%),25.6
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Taux de chômage (%),23.2
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Taux de chômage (%),23.2
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),11.7
