Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),63.8
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),63.8
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),60.6
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),60.6
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part de la population de 15-59 ans (%),58.4
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part de la population de 15-59 ans (%),58.4
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.4
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.4
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part de la population de 15-59 ans (%),57.2
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part de la population de 15-59 ans (%),57.2
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part de la population de 15-59 ans (%),56.0
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part de la population de 15-59 ans (%),56.0
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.1
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.6
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.6
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part de la population de moins de 15 ans (%),32.1
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part de la population de moins de 15 ans (%),32.1
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Âge moyen singulier au mariage,31.7
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Âge moyen singulier au mariage,31.7
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),31.1
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part de la population de moins de 15 ans (%),31.1
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part de la population de moins de 15 ans (%),30.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part de la population de moins de 15 ans (%),30.1
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Âge moyen singulier au mariage,27.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Âge moyen singulier au mariage,27.9
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),26.2
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),26.2
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Âge moyen singulier au mariage,24.1
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Âge moyen singulier au mariage,24.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part de la population de 60 ans et plus (%),11.9
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part de la population de 60 ans et plus (%),11.9
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part de la population de 60 ans et plus (%),11.7
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),11.7
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part de la population de 60 ans et plus (%),11.5
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part de la population de 60 ans et plus (%),11.5
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),7.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),7.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),3.8
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),3.8
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Descendance finale des femmes,3.5
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Descendance finale des femmes,3.5
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Descendance finale des femmes,3.5
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Descendance finale des femmes,3.5
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.9
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Indicateur conjoncturel de fécondité,1.98
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Indicateur conjoncturel de fécondité,1.98
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Indicateur conjoncturel de fécondité,1.98
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Indicateur conjoncturel de fécondité,1.98
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),1.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),1.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),0.9
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),0.9
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.5
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.5
