Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Bni Mathar,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Bni Mathar,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Bni Mathar,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Bni Mathar,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Bni Mathar,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Bni Mathar,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
