Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),95.8
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),95.8
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Taux de chômage (%),65.2
Oriental -> Jerada -> Gafait,Rural,Féminin,Taux de chômage (%),65.2
Oriental -> Jerada -> Gafait,Rural,Ensemble,Taux de chômage (%),63.0
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Taux de chômage (%),63.0
Oriental -> Jerada -> Gafait,Rural,Masculin,Taux de chômage (%),62.7
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Taux de chômage (%),62.7
Oriental -> Jerada -> Gafait,Rural,Masculin,Taux d'activité des 15 ans et plus (%),56.4
