Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Gafait,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Gafait,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Gafait,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Gafait,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Gafait,Urbain,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Gafait,Rural,Féminin,Part de la population de 15-59 ans (%),59.2
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part de la population de 15-59 ans (%),59.2
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.9
Oriental -> Jerada -> Gafait,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.9
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.3
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.3
Oriental -> Jerada -> Gafait,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.7
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.7
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part de la population de 15-59 ans (%),57.3
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part de la population de 15-59 ans (%),57.3
Oriental -> Jerada -> Gafait,Rural,Masculin,Part de la population de 15-59 ans (%),55.2
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part de la population de 15-59 ans (%),55.2
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.6
Oriental -> Jerada -> Gafait,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.6
Oriental -> Jerada -> Gafait,Rural,Masculin,Âge moyen singulier au mariage,33.6
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Âge moyen singulier au mariage,33.6
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.5
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.5
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Âge moyen singulier au mariage,29.3
Oriental -> Jerada -> Gafait,Rural,Ensemble,Âge moyen singulier au mariage,29.3
Oriental -> Jerada -> Gafait,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.8
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.8
Oriental -> Jerada -> Gafait,Rural,Masculin,Part de la population de moins de 15 ans (%),25.6
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part de la population de moins de 15 ans (%),25.6
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Âge moyen singulier au mariage,24.8
Oriental -> Jerada -> Gafait,Rural,Féminin,Âge moyen singulier au mariage,24.8
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part de la population de moins de 15 ans (%),24.3
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),24.3
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part de la population de moins de 15 ans (%),22.9
Oriental -> Jerada -> Gafait,Rural,Féminin,Part de la population de moins de 15 ans (%),22.9
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part de la population de 60 ans et plus (%),19.1
Oriental -> Jerada -> Gafait,Rural,Masculin,Part de la population de 60 ans et plus (%),19.1
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),18.5
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part de la population de 60 ans et plus (%),18.5
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part de la population de 60 ans et plus (%),17.9
Oriental -> Jerada -> Gafait,Rural,Féminin,Part de la population de 60 ans et plus (%),17.9
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),10.1
Oriental -> Jerada -> Gafait,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),10.1
