Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Gafait,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Gafait,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Gafait,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Gafait,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),94.0
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),94.0
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),91.6
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),91.6
Oriental -> Jerada -> Gafait,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),89.3
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),89.3
Oriental -> Jerada -> Gafait,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),10.6
Oriental -> Jerada -> Gafait,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),10.6
Oriental -> Jerada -> Gafait,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),8.3
Oriental -> Jerada -> Gafait,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),8.3
Oriental -> Jerada -> Gafait,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),5.9
Oriental -> Jerada -> Gafait,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),5.9
