Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Guenfouda,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Guenfouda,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Guenfouda,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
