Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Guenfouda,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Guenfouda,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Guenfouda,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Guenfouda,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Guenfouda,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),97.4
Oriental -> Jerada -> Guenfouda,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),97.4
Oriental -> Jerada -> Guenfouda,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),97.4
Oriental -> Jerada -> Guenfouda,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),97.4
Oriental -> Jerada -> Guenfouda,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),97.3
Oriental -> Jerada -> Guenfouda,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),97.3
Oriental -> Jerada -> Guenfouda,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),2.6
Oriental -> Jerada -> Guenfouda,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),2.6
Oriental -> Jerada -> Guenfouda,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),2.6
Oriental -> Jerada -> Guenfouda,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),2.6
Oriental -> Jerada -> Guenfouda,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),2.5
Oriental -> Jerada -> Guenfouda,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),2.5
