Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Jerada,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),85.2
Oriental -> Jerada -> Jerada,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),85.2
