Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Jerada,Rural,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Jerada,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Jerada,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Jerada,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
