Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Jerada,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Jerada,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Jerada,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Jerada,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),95.1
Oriental -> Jerada -> Jerada,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),95.1
Oriental -> Jerada -> Jerada,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),94.6
Oriental -> Jerada -> Jerada,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),94.6
Oriental -> Jerada -> Jerada,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),94.1
Oriental -> Jerada -> Jerada,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),94.1
Oriental -> Jerada -> Jerada,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),5.9
Oriental -> Jerada -> Jerada,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),5.9
Oriental -> Jerada -> Jerada,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),5.4
Oriental -> Jerada -> Jerada,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),5.4
Oriental -> Jerada -> Jerada,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),4.9
Oriental -> Jerada -> Jerada,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),4.9
