Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Laaouinate,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),60.5
Oriental -> Jerada -> Laaouinate,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),60.5
Oriental -> Jerada -> Laaouinate,Rural,Masculin,Taux d'activité des 15 ans et plus (%),54.7
Oriental -> Jerada -> Laaouinate,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),54.7
Oriental -> Jerada -> Laaouinate,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),51.4
Oriental -> Jerada -> Laaouinate,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),51.4
Oriental -> Jerada -> Laaouinate,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),50.2
Oriental -> Jerada -> Laaouinate,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),50.2
Oriental -> Jerada -> Laaouinate,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),39.9
Oriental -> Jerada -> Laaouinate,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),39.9
Oriental -> Jerada -> Laaouinate,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),36.6
Oriental -> Jerada -> Laaouinate,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),36.6
Oriental -> Jerada -> Laaouinate,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),30.7
Oriental -> Jerada -> Laaouinate,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),30.7
Oriental -> Jerada -> Laaouinate,Ensemble,Féminin,Taux de chômage (%),30.1
Oriental -> Jerada -> Laaouinate,Rural,Féminin,Taux de chômage (%),30.1
Oriental -> Jerada -> Laaouinate,Rural,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),24.4
Oriental -> Jerada -> Laaouinate,Ensemble,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),24.4
Oriental -> Jerada -> Laaouinate,Ensemble,Ensemble,Taux de chômage (%),24.0
