Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Laaouinate,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Laaouinate,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Laaouinate,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Laaouinate,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),93.4
Oriental -> Jerada -> Laaouinate,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),93.4
Oriental -> Jerada -> Laaouinate,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),92.6
Oriental -> Jerada -> Laaouinate,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),92.6
Oriental -> Jerada -> Laaouinate,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),91.7
Oriental -> Jerada -> Laaouinate,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),91.7
Oriental -> Jerada -> Laaouinate,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),8.2
Oriental -> Jerada -> Laaouinate,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),8.2
Oriental -> Jerada -> Laaouinate,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),7.4
Oriental -> Jerada -> Laaouinate,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),7.4
Oriental -> Jerada -> Laaouinate,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),6.6
Oriental -> Jerada -> Laaouinate,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),6.6
