Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Taux de chômage (%),
