Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Lebkhata,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Lebkhata,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part de la population de 15-59 ans (%),
