Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Lebkhata,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Lebkhata,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Lebkhata,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Lebkhata,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),67.3
Oriental -> Jerada -> Lebkhata,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),67.3
Oriental -> Jerada -> Lebkhata,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),66.9
Oriental -> Jerada -> Lebkhata,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),66.9
Oriental -> Jerada -> Lebkhata,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),66.5
Oriental -> Jerada -> Lebkhata,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),66.5
Oriental -> Jerada -> Lebkhata,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),33.5
Oriental -> Jerada -> Lebkhata,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),33.5
Oriental -> Jerada -> Lebkhata,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),33.1
Oriental -> Jerada -> Lebkhata,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),33.1
Oriental -> Jerada -> Lebkhata,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),32.7
Oriental -> Jerada -> Lebkhata,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),32.7
