Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),96.9
Oriental -> Jerada -> Mrija,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),96.9
Oriental -> Jerada -> Mrija,Rural,Masculin,Taux d'activité des 15 ans et plus (%),62.6
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),62.6
Oriental -> Jerada -> Mrija,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),53.4
Oriental -> Jerada -> Mrija,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),53.4
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),51.0
Oriental -> Jerada -> Mrija,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),51.0
Oriental -> Jerada -> Mrija,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),31.7
Oriental -> Jerada -> Mrija,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),31.7
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),30.4
Oriental -> Jerada -> Mrija,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),30.4
Oriental -> Jerada -> Mrija,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),29.0
Oriental -> Jerada -> Mrija,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),29.0
Oriental -> Jerada -> Mrija,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),14.7
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),14.7
Oriental -> Jerada -> Mrija,Rural,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),13.9
