Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires locataires (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires disposant de W.-C. (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans un logement rural (%),
Oriental -> Jerada -> Mrija,Urbain,Taille moyenne des ménages,
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans une maison marocaine (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires vivant dans un appartement (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires propriétaires (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires disposant de l'électricité (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires disposant d'une pièce d'eau (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires disposant d'une fosse septique (%),
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires disposant d'une cuisine (%),
Oriental -> Jerada -> Mrija,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Mrija,Urbain,Nombre moyen de personnes par pièce d'habitation,
Oriental -> Jerada -> Mrija,Urbain,Part des ménages sédentaires disposant de l'eau courante (%),
Oriental -> Jerada -> Mrija,Rural,Part des ménages sédentaires disposant d'une cuisine (%),89.5
Oriental -> Jerada -> Mrija,Ensemble,Part des ménages sédentaires disposant d'une cuisine (%),89.5
