Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Mrija,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Mrija,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Mrija,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Mrija,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Mrija,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Mrija,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),64.9
