Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Mrija,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Mrija,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Mrija,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Mrija,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Mrija,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Mrija,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Mrija,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.6
Oriental -> Jerada -> Mrija,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.6
Oriental -> Jerada -> Mrija,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.4
Oriental -> Jerada -> Mrija,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.4
Oriental -> Jerada -> Mrija,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.3
Oriental -> Jerada -> Mrija,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.3
Oriental -> Jerada -> Mrija,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Mrija,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
