Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),95.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),95.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Taux d'activité des 15 ans et plus (%),69.1
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),69.1
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),64.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),64.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),61.2
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),61.2
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Taux de chômage (%),59.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Taux de chômage (%),59.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Taux de chômage (%),58.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Taux de chômage (%),58.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),32.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),32.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),32.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),32.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),29.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),29.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Taux de chômage (%),23.1
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Taux de chômage (%),23.1
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),5.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),5.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),2.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),2.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),1.9
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),1.9
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),1.8
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),1.8
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),1.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),1.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Taux d'activité des 15 ans et plus (%),1.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Taux d'activité des 15 ans et plus (%),1.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),1.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),1.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),1.2
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),1.2
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.2
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.2
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
