Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires disposant d'une pièce d'eau (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires disposant de W.-C. (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans un logement rural (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Taille moyenne des ménages,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans une maison marocaine (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires vivant dans un appartement (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires propriétaires (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires locataires (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires disposant de l'électricité (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires disposant d'une fosse septique (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires disposant d'une cuisine (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Nombre moyen de personnes par pièce d'habitation,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Part des ménages sédentaires disposant de l'eau courante (%),
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires propriétaires (%),89.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires propriétaires (%),89.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires disposant d'une cuisine (%),87.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires disposant d'une cuisine (%),87.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires disposant de l'électricité (%),80.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires disposant de l'électricité (%),80.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans un logement rural (%),79.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans un logement rural (%),79.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),59.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),59.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires disposant de W.-C. (%),32.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires disposant de W.-C. (%),32.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),25.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),25.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires disposant d'une fosse septique (%),17.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires disposant d'une fosse septique (%),17.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans une maison marocaine (%),14.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans une maison marocaine (%),14.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires disposant d'une pièce d'eau (%),11.8
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires disposant d'une pièce d'eau (%),11.8
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),11.1
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),11.1
Oriental -> Jerada -> Ouled Ghziyel,Rural,Taille moyenne des ménages,5.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Taille moyenne des ménages,5.4
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),3.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),3.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Distance moyenne des logements à la route goudronnée (Km),2.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Distance moyenne des logements à la route goudronnée (Km),2.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires disposant de l'eau courante (%),2.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires disposant de l'eau courante (%),2.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Nombre moyen de personnes par pièce d'habitation,2.4
Oriental -> Jerada -> Ouled Ghziyel,Rural,Nombre moyen de personnes par pièce d'habitation,2.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),1.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),1.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires locataires (%),0.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires locataires (%),0.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),0.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Part des ménages sédentaires vivant dans un appartement (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),0.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Part des ménages sédentaires vivant dans un appartement (%),0.0
