Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),62.1
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),62.1
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),60.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),60.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part de la population de 15-59 ans (%),57.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part de la population de 15-59 ans (%),57.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part de la population de 15-59 ans (%),54.8
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part de la population de 15-59 ans (%),54.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population de 15-59 ans (%),52.1
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population de 15-59 ans (%),52.1
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),42.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),42.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population de moins de 15 ans (%),36.4
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population de moins de 15 ans (%),36.4
