Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),91.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),91.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),91.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),91.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),90.9
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),90.9
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),57.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),57.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),54.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),54.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),54.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),54.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),53.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Taux d'analphabétisme des 10 ans et plus (%),53.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),52.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),52.6
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),47.4
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),47.4
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),44.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),44.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),40.9
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),40.9
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),39.7
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),39.7
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),38.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),38.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),35.9
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),35.9
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population ayant un niveau d'études primaire (%),35.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population ayant un niveau d'études primaire (%),35.7
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Taux d'analphabétisme des 10 ans et plus (%),34.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),34.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),33.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part de la population ayant un niveau d'études primaire (%),33.0
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part de la population ayant un niveau d'études primaire (%),30.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part de la population ayant un niveau d'études primaire (%),30.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),17.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),17.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),12.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),12.6
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),8.5
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),8.5
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",6.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",6.0
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",5.4
