Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ouled Ghziyel,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.7
Oriental -> Jerada -> Ouled Ghziyel,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.3
Oriental -> Jerada -> Ouled Ghziyel,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.3
Oriental -> Jerada -> Ouled Ghziyel,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Ouled Ghziyel,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
