Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Taux d'activité des 15 ans et plus (%),73.4
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),73.4
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),61.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),61.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),61.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),61.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Taux de chômage (%),56.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Taux de chômage (%),56.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Taux de chômage (%),56.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Taux de chômage (%),56.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Taux de chômage (%),50.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Taux de chômage (%),50.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),38.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),38.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),34.7
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),34.7
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),34.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),34.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),2.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),2.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),2.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),2.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),2.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),2.0
