Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Descendance finale des femmes,
