Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),79.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),79.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),76.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),76.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),73.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),73.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),67.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),67.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Taux d'analphabétisme des 10 ans et plus (%),66.4
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),66.4
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),63.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),63.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),60.7
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),60.7
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),60.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),60.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),55.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Taux d'analphabétisme des 10 ans et plus (%),55.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),54.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),54.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),49.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),49.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),49.4
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),49.4
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),47.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),47.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),45.8
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),45.8
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),43.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),43.6
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part de la population ayant un niveau d'études primaire (%),24.5
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part de la population ayant un niveau d'études primaire (%),24.5
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part de la population ayant un niveau d'études primaire (%),24.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),24.3
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part de la population ayant un niveau d'études primaire (%),24.2
