Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Ouled Sidi Abdelhakem,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
