Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),88.2
Oriental -> Jerada -> Ras Asfour,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),88.2
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),87.0
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),87.0
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Taux de chômage (%),75.6
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Taux de chômage (%),75.6
Oriental -> Jerada -> Ras Asfour,Ensemble,Ensemble,Taux de chômage (%),74.8
Oriental -> Jerada -> Ras Asfour,Rural,Ensemble,Taux de chômage (%),74.8
Oriental -> Jerada -> Ras Asfour,Rural,Féminin,Taux de chômage (%),61.1
Oriental -> Jerada -> Ras Asfour,Ensemble,Féminin,Taux de chômage (%),61.1
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),55.5
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Taux d'activité des 15 ans et plus (%),55.5
Oriental -> Jerada -> Ras Asfour,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),30.5
Oriental -> Jerada -> Ras Asfour,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),30.5
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),7.2
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),7.2
