Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ras Asfour,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires propriétaires (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Taille moyenne des ménages,
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires locataires (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires disposant d'une pièce d'eau (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires disposant d'une fosse septique (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires disposant d'une cuisine (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires disposant de W.-C. (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires disposant de l'électricité (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires disposant de l'eau courante (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Nombre moyen de personnes par pièce d'habitation,
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans un logement rural (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Part des ménages sédentaires vivant dans une maison marocaine (%),
