Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Descendance finale des femmes,
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
