Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),
