Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),
Oriental -> Jerada -> Ras Asfour,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),
Oriental -> Jerada -> Ras Asfour,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ras Asfour,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ras Asfour,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ras Asfour,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Ras Asfour,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Ras Asfour,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.2
Oriental -> Jerada -> Ras Asfour,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Ras Asfour,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Ras Asfour,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Ras Asfour,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
