Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),100.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),67.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Taux d'activité des 15 ans et plus (%),66.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),64.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),63.7
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Taux de chômage (%),63.1
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Taux de chômage (%),62.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),60.2
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),59.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),56.7
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),55.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Taux de chômage (%),54.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Taux de chômage (%),54.1
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Taux de chômage (%),52.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Taux de chômage (%),51.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Taux de chômage (%),50.7
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),49.1
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),49.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Taux de chômage (%),49.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Taux de chômage (%),46.9
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),42.9
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),36.3
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),31.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),29.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),25.2
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),22.7
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),17.5
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),16.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Taux d'activité des 15 ans et plus (%),7.3
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Taux d'activité des 15 ans et plus (%),5.3
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),4.6
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),1.8
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),1.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.4
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.4
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.4
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.4
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),0.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),0.0
