Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Sidi Boubker,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires disposant de W.-C. (%),99.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires disposant d'une cuisine (%),99.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires disposant de l'électricité (%),98.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires disposant d'une cuisine (%),98.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires disposant de l'électricité (%),98.3
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires disposant de l'eau courante (%),96.9
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires disposant de l'électricité (%),96.3
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires vivant dans un logement rural (%),95.6
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires disposant d'une cuisine (%),95.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires disposant de W.-C. (%),94.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires disposant de l'eau courante (%),89.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),88.4
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires propriétaires (%),84.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires disposant d'une pièce d'eau (%),84.0
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),80.7
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires disposant de W.-C. (%),77.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),75.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),73.3
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires disposant d'une pièce d'eau (%),71.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),68.2
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires disposant de l'eau courante (%),62.2
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires vivant dans une maison marocaine (%),59.7
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires propriétaires (%),56.3
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires disposant d'une fosse septique (%),50.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires propriétaires (%),47.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires vivant dans une maison marocaine (%),47.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires vivant dans un logement rural (%),44.3
Oriental -> Jerada -> Sidi Boubker,Rural,Part des ménages sédentaires disposant d'une pièce d'eau (%),30.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires vivant dans un logement rural (%),29.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Part des ménages sédentaires disposant d'une fosse septique (%),19.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),18.4
