Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),60.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),60.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),60.1
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population de 15-59 ans (%),59.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),59.2
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),59.0
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.9
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population de 15-59 ans (%),56.8
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population de 15-59 ans (%),56.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population de 15-59 ans (%),55.3
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),55.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population de 15-59 ans (%),54.7
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population de 15-59 ans (%),54.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population de 15-59 ans (%),53.9
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),53.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population de 15-59 ans (%),52.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population de 15-59 ans (%),52.6
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),42.2
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.1
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),37.4
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Âge moyen singulier au mariage,36.7
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),36.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Âge moyen singulier au mariage,34.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Âge moyen singulier au mariage,33.9
