Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),100.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),98.4
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.5
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),93.7
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),52.4
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),51.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),50.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),50.3
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),50.3
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),47.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),46.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),44.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),43.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),41.5
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),41.5
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),40.9
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),39.3
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),39.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),37.7
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),36.8
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),36.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),35.6
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),35.3
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population ayant un niveau d'études primaire (%),35.1
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),34.4
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population ayant un niveau d'études primaire (%),34.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population ayant un niveau d'études primaire (%),34.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Taux d'analphabétisme des 10 ans et plus (%),33.6
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),33.2
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),31.7
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),31.4
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population ayant un niveau d'études primaire (%),31.3
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population ayant un niveau d'études primaire (%),31.2
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),31.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),29.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population ayant un niveau d'études primaire (%),28.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),28.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population ayant un niveau d'études primaire (%),28.3
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),28.2
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),28.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population ayant un niveau d'études primaire (%),26.7
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),24.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),23.7
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),23.4
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),23.4
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),21.2
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),21.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),20.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),20.3
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),19.9
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),18.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),18.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),18.5
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",18.2
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),18.1
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),16.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),16.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),16.2
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),15.7
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),15.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Taux d'analphabétisme des 10 ans et plus (%),15.3
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",15.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Taux d'analphabétisme des 10 ans et plus (%),14.7
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",13.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),13.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),13.2
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",12.7
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",12.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",12.4
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),12.2
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",11.5
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",11.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",10.5
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),9.1
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),8.4
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),7.8
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population ayant un niveau d'études supérieur (%),7.5
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population ayant un niveau d'études supérieur (%),6.6
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population ayant un niveau d'études supérieur (%),6.1
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population ayant un niveau d'études supérieur (%),5.7
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population ayant un niveau d'études supérieur (%),5.5
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population ayant un niveau d'études supérieur (%),5.5
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population ayant un niveau d'études supérieur (%),5.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population ayant un niveau d'études supérieur (%),4.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population ayant un niveau d'études supérieur (%),4.7
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),3.0
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population ayant un niveau d'études préscolaire (%),3.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population ayant un niveau d'études préscolaire (%),2.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population ayant un niveau d'études préscolaire (%),2.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),2.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population ayant un niveau d'études préscolaire (%),2.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population ayant un niveau d'études préscolaire (%),1.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),1.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population ayant un niveau d'études préscolaire (%),1.7
