Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.8
Oriental -> Jerada -> Sidi Boubker,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Sidi Boubker,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Sidi Boubker,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Sidi Boubker,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Sidi Boubker,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.0
