Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),87.5
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),85.3
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),83.3
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),80.4
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),80.0
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),66.9
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),65.6
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Taux de chômage (%),63.3
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),61.0
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),59.7
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Taux de chômage (%),56.4
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Taux de chômage (%),54.5
Oriental -> Jerada -> Tiouli,Rural,Masculin,Taux d'activité des 15 ans et plus (%),53.8
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),53.0
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Taux de chômage (%),52.9
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),51.4
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Taux de chômage (%),48.3
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Taux de chômage (%),47.6
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Taux de chômage (%),45.0
Oriental -> Jerada -> Tiouli,Rural,Masculin,Taux de chômage (%),45.0
Oriental -> Jerada -> Tiouli,Rural,Féminin,Taux de chômage (%),44.8
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),37.5
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),36.0
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),30.4
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),30.1
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),29.9
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),29.7
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),29.1
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),16.7
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),13.5
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),13.1
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),11.8
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),9.0
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),6.3
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),6.3
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Taux d'activité des 15 ans et plus (%),5.1
Oriental -> Jerada -> Tiouli,Rural,Féminin,Taux d'activité des 15 ans et plus (%),3.0
