Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Tiouli,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires disposant d'une cuisine (%),98.3
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires disposant de W.-C. (%),97.7
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires disposant de l'eau courante (%),94.3
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires disposant de l'électricité (%),94.3
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires disposant de l'électricité (%),93.4
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires disposant de l'électricité (%),93.0
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires disposant d'une cuisine (%),91.8
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires disposant d'une pièce d'eau (%),91.7
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires disposant d'une cuisine (%),88.2
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),86.0
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires vivant dans une maison marocaine (%),85.7
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires vivant dans un logement rural (%),84.8
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires propriétaires (%),78.6
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires propriétaires (%),78.5
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires propriétaires (%),78.3
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires disposant de W.-C. (%),67.1
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),63.1
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),58.6
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires disposant d'une pièce d'eau (%),55.7
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires vivant dans un logement rural (%),54.6
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires disposant de l'eau courante (%),51.8
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires disposant de W.-C. (%),49.9
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),39.0
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires disposant d'une pièce d'eau (%),35.5
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),34.3
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),34.3
Oriental -> Jerada -> Tiouli,Ensemble,Part des ménages sédentaires vivant dans une maison marocaine (%),33.8
Oriental -> Jerada -> Tiouli,Rural,Part des ménages sédentaires disposant d'une fosse septique (%),31.5
Oriental -> Jerada -> Tiouli,Urbain,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),29.4
