Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Tiouli,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Tiouli,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),67.9
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),63.4
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),61.6
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part de la population de 15-59 ans (%),61.6
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part de la population de 15-59 ans (%),61.5
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part de la population de 15-59 ans (%),61.5
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),59.3
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part de la population de 15-59 ans (%),57.3
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part de la population de 15-59 ans (%),56.9
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part de la population de 15-59 ans (%),56.5
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.0
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),55.4
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part de la population de 15-59 ans (%),55.4
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),55.3
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),54.8
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part de la population de 15-59 ans (%),54.7
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),54.2
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part de la population de 15-59 ans (%),53.9
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),43.8
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),42.5
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.9
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),38.6
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Âge moyen singulier au mariage,36.3
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Âge moyen singulier au mariage,35.2
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.1
Oriental -> Jerada -> Tiouli,Rural,Masculin,Âge moyen singulier au mariage,34.5
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),33.5
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.3
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Âge moyen singulier au mariage,31.6
