Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Tiouli,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),97.3
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.6
Oriental -> Jerada -> Tiouli,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.9
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),92.3
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),91.7
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),91.2
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),81.1
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),81.0
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),81.0
Oriental -> Jerada -> Tiouli,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),54.3
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),53.2
Oriental -> Jerada -> Tiouli,Urbain,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",49.9
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),49.5
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),49.3
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Taux d'analphabétisme des 10 ans et plus (%),49.2
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),48.7
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",48.4
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),47.3
Oriental -> Jerada -> Tiouli,Urbain,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",47.2
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),45.6
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),44.7
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),44.3
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),43.5
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),43.2
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),42.8
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),42.3
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),41.8
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),41.6
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),40.9
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),40.0
