Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),100.0
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),99.9
Oriental -> Jerada -> Tiouli,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.1
Oriental -> Jerada -> Tiouli,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),0.0
Oriental -> Jerada -> Tiouli,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),0.0
