Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Touissit,Rural,Ensemble,Taux de chômage (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Taux de chômage (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des apprentis parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Taux de chômage (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Taux d'activité des 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des employeurs parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des coopérateurs et des associés parmi les actifs occupés de 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),83.6
Oriental -> Jerada -> Touissit,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),83.6
Oriental -> Jerada -> Touissit,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),72.7
Oriental -> Jerada -> Touissit,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),72.7
Oriental -> Jerada -> Touissit,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),70.4
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),70.4
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),51.6
Oriental -> Jerada -> Touissit,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),51.6
Oriental -> Jerada -> Touissit,Urbain,Masculin,Taux de chômage (%),39.4
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Taux de chômage (%),39.4
Oriental -> Jerada -> Touissit,Ensemble,Ensemble,Taux de chômage (%),39.2
Oriental -> Jerada -> Touissit,Urbain,Ensemble,Taux de chômage (%),39.2
Oriental -> Jerada -> Touissit,Ensemble,Féminin,Taux de chômage (%),38.1
