Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires disposant de l'eau courante (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires disposant de l'électricité (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires disposant de W.-C. (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires disposant d'une cuisine (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires disposant d'une fosse septique (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires disposant d'une pièce d'eau (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires locataires (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires propriétaires (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans un appartement (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans une maison marocaine (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),
Oriental -> Jerada -> Touissit,Rural,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),
Oriental -> Jerada -> Touissit,Ensemble,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Touissit,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada -> Touissit,Rural,Taille moyenne des ménages,
