Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Urbain,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Touissit,Rural,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population de moins de 15 ans (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population de 60 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population de 15-59 ans (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Descendance finale des femmes,
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Descendance finale des femmes,
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental -> Jerada -> Touissit,Rural,Féminin,Âge moyen singulier au mariage,
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population de moins de 15 ans (%),
