Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada -> Touissit,Rural,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Touissit,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Touissit,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Touissit,Rural,Masculin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",
Oriental -> Jerada -> Touissit,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population ayant un niveau d'études supérieur (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population ayant un niveau d'études primaire (%),
Oriental -> Jerada -> Touissit,Rural,Féminin,Part de la population ayant un niveau d'études préscolaire (%),
Oriental -> Jerada -> Touissit,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),97.5
Oriental -> Jerada -> Touissit,Urbain,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),97.5
Oriental -> Jerada -> Touissit,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),97.2
Oriental -> Jerada -> Touissit,Ensemble,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),97.2
Oriental -> Jerada -> Touissit,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.8
Oriental -> Jerada -> Touissit,Ensemble,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.8
Oriental -> Jerada -> Touissit,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),43.0
Oriental -> Jerada -> Touissit,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),43.0
Oriental -> Jerada -> Touissit,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),42.3
Oriental -> Jerada -> Touissit,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),42.3
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),41.7
Oriental -> Jerada -> Touissit,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),41.7
Oriental -> Jerada -> Touissit,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),41.3
Oriental -> Jerada -> Touissit,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),41.3
Oriental -> Jerada -> Touissit,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),39.4
Oriental -> Jerada -> Touissit,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),39.4
