Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada,Urbain,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),84.3
Oriental -> Jerada,Ensemble,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),83.8
Oriental -> Jerada,Rural,Féminin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),81.8
Oriental -> Jerada,Urbain,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),66.3
Oriental -> Jerada,Rural,Masculin,Taux d'activité des 15 ans et plus (%),63.8
Oriental -> Jerada,Ensemble,Masculin,Taux d'activité des 15 ans et plus (%),63.6
Oriental -> Jerada,Urbain,Masculin,Taux d'activité des 15 ans et plus (%),63.5
Oriental -> Jerada,Urbain,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),62.9
Oriental -> Jerada,Ensemble,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),62.3
Oriental -> Jerada,Ensemble,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),59.3
Oriental -> Jerada,Rural,Ensemble,Part des salariés parmi les actifs occupés de 15 ans et plus (%),56.1
Oriental -> Jerada,Rural,Masculin,Part des salariés parmi les actifs occupés de 15 ans et plus (%),54.3
Oriental -> Jerada,Urbain,Féminin,Taux de chômage (%),54.2
Oriental -> Jerada,Ensemble,Féminin,Taux de chômage (%),53.9
Oriental -> Jerada,Rural,Féminin,Taux de chômage (%),52.8
Oriental -> Jerada,Urbain,Ensemble,Taux de chômage (%),46.5
Oriental -> Jerada,Urbain,Masculin,Taux de chômage (%),44.7
Oriental -> Jerada,Ensemble,Ensemble,Taux de chômage (%),43.5
Oriental -> Jerada,Ensemble,Masculin,Taux de chômage (%),41.6
Oriental -> Jerada,Rural,Ensemble,Taux de chômage (%),38.1
Oriental -> Jerada,Rural,Masculin,Taux de chômage (%),36.7
Oriental -> Jerada,Urbain,Ensemble,Taux d'activité des 15 ans et plus (%),36.5
Oriental -> Jerada,Ensemble,Ensemble,Taux d'activité des 15 ans et plus (%),35.8
Oriental -> Jerada,Rural,Ensemble,Taux d'activité des 15 ans et plus (%),34.4
Oriental -> Jerada,Rural,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),33.8
Oriental -> Jerada,Rural,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),32.1
Oriental -> Jerada,Ensemble,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),29.3
Oriental -> Jerada,Ensemble,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),26.9
Oriental -> Jerada,Urbain,Masculin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),26.2
Oriental -> Jerada,Urbain,Ensemble,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),23.6
Oriental -> Jerada,Urbain,Féminin,Taux d'activité des 15 ans et plus (%),12.8
Oriental -> Jerada,Ensemble,Féminin,Taux d'activité des 15 ans et plus (%),10.3
Oriental -> Jerada,Urbain,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),10.2
Oriental -> Jerada,Ensemble,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),9.7
Oriental -> Jerada,Rural,Féminin,Part des indépendants parmi les actifs occupés de 15 ans et plus (%),7.9
Oriental -> Jerada,Rural,Féminin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),7.9
Oriental -> Jerada,Rural,Ensemble,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),6.8
Oriental -> Jerada,Rural,Masculin,Part des aides familiaux parmi les actifs occupés de 15 ans et plus (%),6.8
Oriental -> Jerada,Rural,Féminin,Taux d'activité des 15 ans et plus (%),5.7
