Zone,Milieu,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada,Urbain,Distance moyenne des logements à la route goudronnée (Km),
Oriental -> Jerada,Urbain,Part des ménages sédentaires disposant de W.-C. (%),99.0
Oriental -> Jerada,Urbain,Part des ménages sédentaires disposant de l'électricité (%),98.8
Oriental -> Jerada,Urbain,Part des ménages sédentaires disposant de l'eau courante (%),98.3
Oriental -> Jerada,Urbain,Part des ménages sédentaires disposant d'une cuisine (%),98.2
Oriental -> Jerada,Urbain,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),98.0
Oriental -> Jerada,Ensemble,Part des ménages sédentaires disposant de l'électricité (%),94.2
Oriental -> Jerada,Ensemble,Part des ménages sédentaires disposant d'une cuisine (%),93.3
Oriental -> Jerada,Urbain,Part des ménages sédentaires vivant dans une maison marocaine (%),91.0
Oriental -> Jerada,Ensemble,Part des ménages sédentaires disposant de W.-C. (%),87.3
Oriental -> Jerada,Rural,Part des ménages sédentaires disposant de l'électricité (%),85.8
Oriental -> Jerada,Rural,Part des ménages sédentaires disposant d'une cuisine (%),84.4
Oriental -> Jerada,Ensemble,Part des ménages sédentaires disposant de l'eau courante (%),77.6
Oriental -> Jerada,Rural,Part des ménages sédentaires propriétaires (%),75.9
Oriental -> Jerada,Ensemble,Part des ménages sédentaires propriétaires (%),72.3
Oriental -> Jerada,Urbain,Part des ménages sédentaires propriétaires (%),70.3
Oriental -> Jerada,Ensemble,Part des ménages sédentaires vivant dans une maison marocaine (%),70.2
Oriental -> Jerada,Urbain,Part des ménages sédentaires disposant d'une pièce d'eau (%),68.6
Oriental -> Jerada,Ensemble,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),67.3
Oriental -> Jerada,Rural,Part des ménages sédentaires disposant de W.-C. (%),65.9
Oriental -> Jerada,Ensemble,Part des ménages sédentaires disposant d'une pièce d'eau (%),56.8
Oriental -> Jerada,Rural,Part des ménages sédentaires vivant dans un logement rural (%),55.1
Oriental -> Jerada,Urbain,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),51.5
Oriental -> Jerada,Ensemble,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),45.3
Oriental -> Jerada,Rural,Part des ménages sédentaires disposant de l'eau courante (%),40.0
Oriental -> Jerada,Rural,Part des ménages sédentaires disposant d'une pièce d'eau (%),35.6
Oriental -> Jerada,Rural,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),33.8
Oriental -> Jerada,Rural,Part des ménages sédentaires vivant dans une maison marocaine (%),32.3
Oriental -> Jerada,Urbain,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),27.9
Oriental -> Jerada,Ensemble,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),26.4
Oriental -> Jerada,Rural,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),24.3
Oriental -> Jerada,Rural,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),23.7
Oriental -> Jerada,Ensemble,Part des ménages sédentaires vivant dans un logement rural (%),20.2
Oriental -> Jerada,Rural,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),18.1
Oriental -> Jerada,Rural,Part des ménages sédentaires disposant d'une fosse septique (%),17.2
Oriental -> Jerada,Ensemble,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),15.5
Oriental -> Jerada,Ensemble,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),12.9
Oriental -> Jerada,Urbain,Part des ménages sédentaires locataires (%),12.6
Oriental -> Jerada,Rural,Part des ménages sédentaires raccordés au réseau public d'assainissement (%),11.5
Oriental -> Jerada,Urbain,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),10.6
Oriental -> Jerada,Urbain,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%),10.0
Oriental -> Jerada,Ensemble,Part des ménages sédentaires locataires (%),9.0
