Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada,Rural,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.6
Oriental -> Jerada,Rural,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.4
Oriental -> Jerada,Ensemble,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.3
Oriental -> Jerada,Rural,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.2
Oriental -> Jerada,Ensemble,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.1
Oriental -> Jerada,Urbain,Féminin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.1
Oriental -> Jerada,Urbain,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.0
Oriental -> Jerada,Ensemble,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),94.0
Oriental -> Jerada,Urbain,Masculin,Taux de scolarisation des 6-11 ans en 2023/2024 (%),93.8
Oriental -> Jerada,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),57.2
Oriental -> Jerada,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),57.0
Oriental -> Jerada,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),56.8
Oriental -> Jerada,Rural,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),52.5
Oriental -> Jerada,Rural,Féminin,Taux d'analphabétisme des 10 ans et plus (%),51.2
Oriental -> Jerada,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),50.2
Oriental -> Jerada,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),50.2
Oriental -> Jerada,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),50.1
Oriental -> Jerada,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),47.4
Oriental -> Jerada,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),46.9
Oriental -> Jerada,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe uniquement parmi les alphabètes de 10 ans et plus (%),46.5
Oriental -> Jerada,Rural,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),44.8
Oriental -> Jerada,Ensemble,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),44.1
Oriental -> Jerada,Rural,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),42.0
Oriental -> Jerada,Ensemble,Féminin,Taux d'analphabétisme des 10 ans et plus (%),41.0
Oriental -> Jerada,Urbain,Féminin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),39.1
Oriental -> Jerada,Rural,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),37.1
Oriental -> Jerada,Ensemble,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),36.7
Oriental -> Jerada,Urbain,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),36.4
Oriental -> Jerada,Ensemble,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),35.6
Oriental -> Jerada,Urbain,Féminin,Taux d'analphabétisme des 10 ans et plus (%),35.1
Oriental -> Jerada,Urbain,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),35.1
Oriental -> Jerada,Ensemble,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),34.6
Oriental -> Jerada,Rural,Masculin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),34.1
Oriental -> Jerada,Rural,Ensemble,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),33.6
Oriental -> Jerada,Urbain,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),33.5
Oriental -> Jerada,Ensemble,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),33.3
Oriental -> Jerada,Rural,Féminin,Part des personnes sachant lire et écrire l'arabe et le français uniquement parmi les alphabètes de 10 ans et plus (%),32.8
Oriental -> Jerada,Rural,Masculin,Taux d'analphabétisme des 10 ans et plus (%),32.6
Oriental -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études primaire (%),32.5
Oriental -> Jerada,Ensemble,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),32.5
Oriental -> Jerada,Urbain,Ensemble,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),31.6
Oriental -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études primaire (%),29.5
Oriental -> Jerada,Ensemble,Masculin,Part de la population ayant un niveau d'études primaire (%),29.4
Oriental -> Jerada,Ensemble,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),28.8
Oriental -> Jerada,Urbain,Masculin,Part de la population ayant un niveau d'études primaire (%),27.5
Oriental -> Jerada,Urbain,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),26.8
Oriental -> Jerada,Ensemble,Ensemble,Part de la population ayant un niveau d'études primaire (%),26.6
Oriental -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études primaire (%),26.4
Oriental -> Jerada,Urbain,Ensemble,Part de la population ayant un niveau d'études primaire (%),24.9
Oriental -> Jerada,Ensemble,Féminin,Part de la population ayant un niveau d'études primaire (%),24.0
Oriental -> Jerada,Urbain,Masculin,Part de la population n'ayant aucun niveau d'études dans l'enseignement général (%),23.4
Oriental -> Jerada,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),23.3
Oriental -> Jerada,Ensemble,Masculin,Taux d'analphabétisme des 10 ans et plus (%),23.3
Oriental -> Jerada,Urbain,Féminin,Part de la population ayant un niveau d'études primaire (%),22.5
Oriental -> Jerada,Ensemble,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),21.2
Oriental -> Jerada,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),19.8
Oriental -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études secondaire collégial (%),17.9
Oriental -> Jerada,Ensemble,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),17.7
Oriental -> Jerada,Urbain,Masculin,Taux d'analphabétisme des 10 ans et plus (%),17.5
Oriental -> Jerada,Urbain,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",17.2
Oriental -> Jerada,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),16.5
Oriental -> Jerada,Urbain,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",15.6
Oriental -> Jerada,Ensemble,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",14.9
Oriental -> Jerada,Urbain,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),14.5
Oriental -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire collégial (%),14.4
Oriental -> Jerada,Ensemble,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),14.4
Oriental -> Jerada,Urbain,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",14.3
Oriental -> Jerada,Ensemble,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",13.3
Oriental -> Jerada,Urbain,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),12.7
Oriental -> Jerada,Ensemble,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",12.0
Oriental -> Jerada,Ensemble,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),11.5
Oriental -> Jerada,Urbain,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),11.0
Oriental -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études secondaire collégial (%),10.9
Oriental -> Jerada,Ensemble,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),10.1
Oriental -> Jerada,Urbain,Masculin,Part de la population ayant un niveau d'études supérieur (%),9.6
Oriental -> Jerada,Urbain,Ensemble,Part de la population ayant un niveau d'études supérieur (%),9.6
Oriental -> Jerada,Urbain,Féminin,Part de la population ayant un niveau d'études supérieur (%),9.6
Oriental -> Jerada,Rural,Féminin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",9.5
Oriental -> Jerada,Ensemble,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),8.8
Oriental -> Jerada,Rural,Ensemble,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",8.3
Oriental -> Jerada,Ensemble,Ensemble,Part de la population ayant un niveau d'études supérieur (%),7.4
Oriental -> Jerada,Ensemble,Masculin,Part de la population ayant un niveau d'études supérieur (%),7.4
Oriental -> Jerada,Ensemble,Féminin,Part de la population ayant un niveau d'études supérieur (%),7.4
Oriental -> Jerada,Rural,Masculin,"Part des personnes sachant lire et écrire l'arabe, le français et l'anglais parmi les alphabètes de 10 ans et plus (%)",7.4
Oriental -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études secondaire qualifiant (%),7.0
Oriental -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études secondaire qualifiant (%),6.1
Oriental -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études secondaire qualifiant (%),5.2
Oriental -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études supérieur (%),4.1
Oriental -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études supérieur (%),3.9
Oriental -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études supérieur (%),3.7
Oriental -> Jerada,Ensemble,Masculin,Part de la population ayant un niveau d'études préscolaire (%),1.6
Oriental -> Jerada,Urbain,Masculin,Part de la population ayant un niveau d'études préscolaire (%),1.6
Oriental -> Jerada,Rural,Masculin,Part de la population ayant un niveau d'études préscolaire (%),1.5
Oriental -> Jerada,Urbain,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),1.5
Oriental -> Jerada,Urbain,Féminin,Part de la population ayant un niveau d'études préscolaire (%),1.4
Oriental -> Jerada,Rural,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),1.4
Oriental -> Jerada,Ensemble,Ensemble,Part de la population ayant un niveau d'études préscolaire (%),1.4
Oriental -> Jerada,Ensemble,Féminin,Part de la population ayant un niveau d'études préscolaire (%),1.3
Oriental -> Jerada,Rural,Féminin,Part de la population ayant un niveau d'études préscolaire (%),1.2
