Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental -> Jerada,Urbain,Masculin,Part de la population dont la langue maternelle est l'arabe (%),96.6
Oriental -> Jerada,Ensemble,Masculin,Part de la population dont la langue maternelle est l'arabe (%),96.5
Oriental -> Jerada,Urbain,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),96.3
Oriental -> Jerada,Rural,Masculin,Part de la population dont la langue maternelle est l'arabe (%),96.3
Oriental -> Jerada,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),96.2
Oriental -> Jerada,Rural,Ensemble,Part de la population dont la langue maternelle est l'arabe (%),96.0
Oriental -> Jerada,Urbain,Féminin,Part de la population dont la langue maternelle est l'arabe (%),96.0
Oriental -> Jerada,Ensemble,Féminin,Part de la population dont la langue maternelle est l'arabe (%),95.9
Oriental -> Jerada,Rural,Féminin,Part de la population dont la langue maternelle est l'arabe (%),95.7
Oriental -> Jerada,Rural,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),4.2
Oriental -> Jerada,Ensemble,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),4.1
Oriental -> Jerada,Rural,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),4.0
Oriental -> Jerada,Urbain,Féminin,Part de la population dont la langue maternelle est l'amazigh (%),4.0
Oriental -> Jerada,Ensemble,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),3.8
Oriental -> Jerada,Rural,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),3.7
Oriental -> Jerada,Urbain,Ensemble,Part de la population dont la langue maternelle est l'amazigh (%),3.7
Oriental -> Jerada,Ensemble,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),3.5
Oriental -> Jerada,Urbain,Masculin,Part de la population dont la langue maternelle est l'amazigh (%),3.4
